Wall time,Step,Value
1579167957.0633512,42,0.3303677439689636
1579167964.0089118,94,0.06777707487344742
1579167976.1198463,167,0.053420137614011765
1579167984.339464,229,0.03588239103555679
1579167985.0223162,234,0.039377469569444656
1579167990.191192,273,0.023288169875741005
1579167996.7997377,308,0.02411148138344288
1579167997.036935,310,0.03769766539335251
1579167998.1065795,318,0.031473953276872635
1579168020.091823,474,0.016350843012332916
1579168028.2483377,536,0.014484414830803871
1579168033.9437537,579,0.015547129325568676
1579168034.8813388,586,0.01124926283955574
1579168043.252711,634,0.011396042071282864
1579168045.0234365,647,0.02237270399928093
1579168053.9795282,714,0.012399126775562763
1579168055.0584524,722,0.009772323071956635
1579168068.6591601,808,0.022378811612725258
1579168072.5472286,836,0.018639124929904938
1579168098.1951478,1014,0.009052274748682976
1579168104.985857,1066,0.013194813393056393
1579168112.044827,1104,0.00970388948917389
1579168122.0968823,1180,0.013866367749869823
1579168134.6071491,1261,0.015245853923261166
1579168142.101518,1316,0.010026661679148674
1579168142.5099804,1319,0.00757610984146595
1579168144.3416083,1333,0.0142150167375803
1579168144.856815,1337,0.011580657213926315
1579168151.2164502,1385,0.007765003014355898
1579168153.6998973,1392,0.02350069209933281
1579168159.541793,1436,0.014421911910176277
1579168176.4323692,1552,0.022226806730031967
1579168194.8660626,1691,0.008846165612339973
1579168202.1191783,1734,0.010030368342995644
1579168202.5315082,1737,0.010385225526988506
1579168216.8047574,1844,0.00775286415591836
1579168223.0872886,1877,0.005856010131537914
1579168228.277964,1917,0.011528067290782928
1579168245.5837393,2036,0.010140753351151943
1579168253.592346,2096,0.00879955105483532
1579168276.4650772,2199,0.0071244980208575726
1579168290.4105852,2262,0.00876931007951498
1579168300.5569475,2307,0.013258558697998524
1579168322.0209894,2389,0.007338518276810646
1579168332.1198573,2436,0.006191425956785679
1579168345.970847,2485,0.008819510228931904
1579168346.1760325,2486,0.0076299384236335754
1579168348.8173785,2498,0.007439807057380676
1579168356.2688355,2532,0.012988349422812462
1579168393.4810503,2685,0.009311433881521225
1579168405.6618023,2740,0.008210747502744198
1579168462.4561195,2967,0.01280183531343937
1579168478.2256775,3038,0.007248681038618088
1579168508.8734457,3161,0.009806452319025993
1579168523.6571062,3230,0.0058844913728535175
1579168530.1789353,3246,0.010096989572048187
