Wall time,Step,Value
1579167957.0631785,42,0.10461438447237015
1579167964.0087402,94,0.06184779480099678
1579167976.1196754,167,0.03726419433951378
1579167984.3392873,229,0.037922874093055725
1579167985.0221438,234,0.02397138625383377
1579167990.1910217,273,0.021045630797743797
1579167996.7995694,308,0.02603238634765148
1579167997.0367634,310,0.029278332367539406
1579167998.1064086,318,0.043608639389276505
1579168020.091654,474,0.013445180840790272
1579168028.2481656,536,0.011465306393802166
1579168033.943583,579,0.015534956939518452
1579168034.8810806,586,0.017179640009999275
1579168043.252545,634,0.00970948114991188
1579168045.0232706,647,0.013899383135139942
1579168053.979351,714,0.01065510418266058
1579168055.0582805,722,0.02372443862259388
1579168068.6589592,808,0.013189314864575863
1579168072.5470293,836,0.010704939253628254
1579168098.194964,1014,0.005706155207008123
1579168104.9856787,1066,0.011004901491105556
1579168112.044652,1104,0.007260188926011324
1579168122.0967135,1180,0.014411229640245438
1579168134.6069465,1261,0.010026336647570133
1579168142.101347,1316,0.010054192505776882
1579168142.5098023,1319,0.01189564447849989
1579168144.3414366,1333,0.007993471808731556
1579168144.8566442,1337,0.010297070257365704
1579168151.2162883,1385,0.06003309413790703
1579168153.6997273,1392,0.02727396972477436
1579168159.5416262,1436,0.012427776120603085
1579168176.432199,1552,0.010563954710960388
1579168194.8658886,1691,0.008502821438014507
1579168202.1190047,1734,0.006713137496262789
1579168202.5313377,1737,0.005628231912851334
1579168216.8045876,1844,0.005516672041267157
1579168223.087118,1877,0.013708547689020634
1579168228.277794,1917,0.008544303476810455
1579168245.5835698,2036,0.007392974104732275
1579168253.5921993,2096,0.008259468711912632
1579168276.4628348,2199,0.011892500333487988
1579168290.4083622,2262,0.011943858116865158
1579168300.5547025,2307,0.005952794104814529
1579168322.0187242,2389,0.006747059524059296
1579168332.1176124,2436,0.006388419773429632
1579168345.9686103,2485,0.004702058155089617
1579168346.1759007,2486,0.006425369996577501
1579168348.8150973,2498,0.006380276754498482
1579168356.2678516,2532,0.007653869688510895
1579168393.4806952,2685,0.008182412944734097
1579168405.6595664,2740,0.006155452225357294
1579168462.455917,2967,0.010621710680425167
1579168478.2234366,3038,0.007333529647439718
1579168508.8711655,3161,0.0064833140932023525
1579168523.6569262,3230,0.005465561989694834
1579168530.1766744,3246,0.011154077015817165
1579168530.3822925,3247,0.00896979495882988
1579168543.07604,3305,0.006270714569836855
1579168618.3939617,3618,0.003993453923612833
1579168618.8257337,3620,0.005860648583620787
1579168629.7495213,3670,0.0057311211712658405
1579168647.7974384,3741,0.005650147795677185
1579168663.776345,3814,0.00626026839017868
1579168665.2803843,3821,0.00458733132109046
1579168692.1584454,3928,0.006359230261296034
1579168698.3051074,3956,0.004237702582031488
1579168719.3447526,4036,0.004940531682223082
1579168733.0701036,4098,0.0026989143807440996
1579168757.2566767,4196,0.00333903799764812
1579168765.1156158,4232,0.006966161075979471
1579168787.2173615,4317,0.005696974694728851
1579168805.4888296,4400,0.005907043814659119
1579168828.8620005,4492,0.006278121378272772
1579168832.5677977,4509,0.007621213793754578
1579168869.5300314,4664,0.005430413875728846
1579168870.4136546,4668,0.006579183042049408
1579168872.2163754,4676,0.0066137551330029964
1579168899.5090952,4788,0.006614327430725098
1579168902.243077,4802,0.0028885584324598312
1579168922.3608322,4894,0.0027153564151376486
1579168942.2890997,4971,0.005337340757250786
1579168974.7461433,5106,0.0034787971526384354
1579168981.0181193,5134,0.006808736827224493
1579169029.8527596,5345,0.00450974190607667
1579169032.9147048,5359,0.0033443551510572433
1579169081.2515736,5549,0.013890337198972702
1579169109.9918144,5679,0.005094047170132399
1579169122.4917235,5723,0.0054157027043402195
1579169141.1502025,5808,0.00585936987772584
1579169156.2894824,5864,0.004678180441260338
1579169157.8012457,5871,0.004452675115317106
1579169165.667856,5907,0.005407231394201517
1579169183.8229194,5990,0.003263532416895032
1579169235.8390334,6200,0.010458295233547688
1579169240.0227118,6219,0.0032951023895293474
1579169255.4136252,6289,0.00648215226829052
1579169277.3883545,6376,0.005910368170589209
1579169323.852348,6574,0.0037060414906591177
1579169330.1993318,6603,0.0059021394699811935
1579169354.4485972,6699,0.005024016834795475
