Wall time,Step,Value
1585686783.9309828,42,0.09723544120788574
1585686791.643692,94,0.06987018883228302
1585686897.1913068,167,0.06522293388843536
1585686906.3525507,229,0.06120065972208977
1585686907.1198819,234,0.060795679688453674
1585686912.9251523,273,0.05923072621226311
1585687016.934116,308,0.048533521592617035
1585687017.2453077,310,0.03993940353393555
1585687018.4622736,318,0.056292902678251266
1585687140.2510343,474,0.036478616297245026
1585687149.486211,536,0.029512746259570122
1585687155.943004,579,0.03438076004385948
1585687157.0782952,586,0.021314874291419983
1585687263.458061,634,0.03234127536416054
1585687265.4680712,647,0.028194159269332886
1585687276.543546,714,0.022149009630084038
1585687277.8001902,722,0.0244331955909729
1585687391.2411578,808,0.030151009559631348
1585687395.6972086,836,0.02352595329284668
1585687525.005801,1014,0.02105378918349743
1585687533.96467,1066,0.0181179940700531
1585687638.9087605,1104,0.022276652976870537
1585687651.4627686,1180,0.02208450250327587
1585687763.782433,1261,0.026348784565925598
1585687773.2007413,1316,0.014047838747501373
1585687773.658578,1319,0.014252832159399986
1585687775.8315191,1333,0.01754475012421608
1585687776.4354627,1337,0.017561092972755432
1585687783.8571239,1385,0.05039110407233238
1585687885.044373,1392,0.011490322649478912
1585687891.8683035,1436,0.010854939930140972
1585688009.6967487,1552,0.017249194905161858
1585688033.1235516,1691,0.013679411262273788
1585688140.111464,1734,0.01855446770787239
1585688140.70359,1737,0.012335924431681633
1585688159.0175529,1844,0.01044471375644207
1585688263.8820326,1877,0.017342668026685715
1585688271.1351783,1917,0.013897824101150036
1585688389.796427,2036,0.0174118485301733
1585688400.1550786,2096,0.01882953941822052
1585688517.5066485,2199,0.018928267061710358
1585688529.3101468,2262,0.015909191220998764
1585688537.1677184,2307,0.012768864631652832
1585688650.539808,2389,0.011856058612465858
1585688658.7020972,2436,0.01264900155365467
1585688764.695551,2485,0.014029456302523613
1585688764.845493,2486,0.01096576452255249
1585688766.625234,2498,0.008844519034028053
1585688772.4293127,2532,0.011178984306752682
1585688898.774322,2685,0.012256165966391563
1585688908.8054194,2740,0.014188511297106743
1585689145.183881,2967,0.005721692927181721
1585689157.7099712,3038,0.011435098014771938
1585689279.4303002,3161,0.016390156000852585
1585689290.6597447,3230,0.013329051434993744
1585689392.4028049,3246,0.013919234275817871
1585689392.6147294,3247,0.010702843777835369
1585689401.8537369,3305,0.014124145731329918
1585689651.8672967,3618,0.007033843547105789
1585689652.243888,3620,0.009888051077723503
1585689660.066964,3670,0.006002429407089949
1585689772.2918253,3741,0.010960020124912262
1585689785.678787,3814,0.0109852384775877
1585689786.783248,3821,0.015749534592032433
1585689904.2525494,3928,0.009615566581487656
1585689909.4453094,3956,0.0117966178804636
1585690023.198368,4036,0.009620411321520805
1585690035.1277535,4098,0.011237852275371552
1585690151.1605456,4196,0.007221684791147709
1585690157.8141348,4232,0.009615867398679256
1585690271.4578564,4317,0.007302505429834127
1585690286.0712814,4400,0.010036664083600044
1585690399.454429,4492,0.007833296433091164
1585690402.7602067,4509,0.006067489739507437
1585690529.0399656,4664,0.00802551954984665
1585690529.64776,4668,0.007749396376311779
1585690530.8553817,4676,0.008391430601477623
1585690649.1777124,4788,0.007542743347585201
1585690651.6064959,4802,0.007482084911316633
1585690668.1433432,4894,0.010522439144551754
1585690780.9573705,4971,0.0084146773442626
1585690903.0788577,5106,0.008100338280200958
1585690907.4631445,5134,0.010391758754849434
1585691041.7877135,5345,0.012262444943189621
1585691043.9555848,5359,0.00717974454164505
1585691275.0900183,5549,0.010325005277991295
1585691297.6172423,5679,0.006602905690670013
1585691403.3581553,5723,0.006856103893369436
1585691417.2300758,5808,0.013131093233823776
1585691525.923459,5864,0.008099671453237534
1585691527.0290506,5871,0.006322890520095825
1585691533.518135,5907,0.006010591983795166
1585691548.3058162,5990,0.010406247340142727
1585691781.3180792,6200,0.007925543934106827
1585691784.2167034,6219,0.004762834869325161
1585691795.0942802,6289,0.009655261412262917
1585691909.4759254,6376,0.01194161456078291
1585692042.691236,6574,0.007407747209072113
1585692048.2472405,6603,0.011178127489984035
1585692165.213924,6699,0.009193804115056992
1585692167.1640146,6711,0.00792186614125967
1585692290.3688192,6854,0.008885740302503109
1585692409.1581345,6966,0.004871425684541464
1585692534.2031248,7114,0.009440487250685692
1585692541.175174,7155,0.009202498011291027
1585692677.4459074,7382,0.008851618506014347
1585692789.8961,7460,0.006585908588021994
1585692790.6301723,7463,0.005289948545396328
1585692793.0499218,7478,0.008696358650922775
1585692798.9328327,7511,0.005318531300872564
1585693045.8763156,7788,0.008880183100700378
1585693047.4958248,7798,0.006237752269953489
1585693053.581875,7833,0.010120783001184464
1585693179.7965221,7991,0.005729428492486477
1585693291.326978,8066,0.006378709804266691
1585693409.6243405,8180,0.0057897488586604595
1585693417.3252554,8221,0.005143842659890652
1585693540.583275,8363,0.010003790259361267
1585693541.4380631,8368,0.009540533646941185
1585693542.8785126,8377,0.005864247214049101
1585693662.4365919,8498,0.009616458788514137
1585693664.071149,8508,0.005041131749749184
1585693679.592705,8601,0.005503387656062841
1585693927.9189985,8878,0.00489993579685688
1585693936.6215565,8928,0.008341673761606216
1585694037.016311,8935,0.006615984253585339
1585694046.7270787,8993,0.0048188697546720505
1585694290.5261865,9260,0.00827465858310461
1585694423.5366807,9468,0.0030041146092116833
1585694536.7276044,9554,0.009846117347478867
1585694538.9256911,9567,0.006206877529621124
1585694559.5305614,9680,0.005502474959939718
1585694562.4672801,9698,0.006897293031215668
1585694685.4718828,9843,0.011971024796366692
1585694795.4968026,9907,0.005258207209408283
1585695055.9048376,10276,0.006820938549935818
1585695056.9838204,10283,0.006054421421140432
1585695176.8513672,10399,0.005784623324871063
1585695289.7423496,10479,0.010417886078357697
1585695297.3816345,10522,0.004258380271494389
1585695311.3768563,10607,0.0052954889833927155
1585695419.1502764,10654,0.004555143415927887
1585695428.3492851,10711,0.004271287005394697
1585695436.421103,10757,0.004451613407582045
1585695436.5753307,10758,0.004682131577283144
1585695538.9694192,10780,0.003434361657127738
1585695551.6252437,10850,0.008801587857306004
1585695560.5104256,10902,0.004235915839672089
1585695560.9838974,10905,0.008958274498581886
1585695667.0251477,10943,0.007659986615180969
1585695670.7181442,10966,0.010370972566306591
1585695672.5092337,10974,0.00832204706966877
1585695680.8797898,11020,0.003547712927684188
1585695792.7369232,11102,0.005504871718585491
1585695795.9635785,11121,0.007581332232803106
1585696043.861862,11419,0.004580150358378887
1585696053.372524,11472,0.00385143980383873
1585696057.170264,11492,0.009820636361837387
1585696062.3844326,11523,0.004333557561039925
1585696063.9084613,11532,0.0052897511050105095
1585696169.128451,11566,0.002642639447003603
1585696189.3676288,11685,0.005280863028019667
1585696301.4915435,11759,0.005291658453643322
1585696436.04769,11969,0.0053365034982562065
1585696436.8279433,11974,0.0052533261477947235
1585696443.0653076,12010,0.003651067614555359
1585696563.7997012,12138,0.005395750980824232
1585696567.8383882,12164,0.004458138253539801
1585696689.7553632,12290,0.005748637951910496
1585697052.6275446,12671,0.007502654101699591
1585697187.8442302,12877,0.0048461491242051125
1585697297.042792,12939,0.006442541256546974
1585697313.068372,13034,0.003595829475671053
1585697317.405754,13061,0.006153706461191177
1585697321.5649185,13082,0.005275322124361992
1585697422.1501632,13094,0.01086298655718565
1585697424.5542858,13109,0.012127682566642761
1585697673.9531343,13402,0.0060264952480793
1585697690.4827592,13504,0.004261099733412266
1585697697.9327977,13546,0.00495937978848815
1585697806.8701706,13597,0.012904725968837738
1585697810.5241325,13620,0.012675553560256958
1585697819.7722733,13679,0.0029317305888980627
1585697941.7966049,13810,0.0057983845472335815
1585698052.7541924,13884,0.004100313410162926
1585698186.099456,14080,0.0034712101332843304
1585698311.0565896,14221,0.003783613443374634
1585698322.418695,14294,0.004412760026752949
1585698327.4628077,14320,0.00965370237827301
1585698431.6111143,14338,0.003620411269366741
1585698441.971202,14397,0.003650843631476164
1585698450.426901,14447,0.0030864086002111435
1585698679.7740984,14632,0.005537689663469791
1585698680.7488785,14638,0.01288798451423645
1585698686.071479,14668,0.006486955098807812
1585698687.4686277,14677,0.004530788399279118
1585698689.6566916,14687,0.004424722399562597
1585698704.976428,14779,0.006879821419715881
1585698805.077282,14788,0.003227539360523224
1585698808.3762877,14809,0.005689949728548527
1585698819.475478,14873,0.004398788325488567
1585698822.484708,14892,0.007694376166909933
1585698954.912459,15090,0.007575230672955513
1585699070.637625,15180,0.00585048645734787
1585699185.097343,15266,0.005063546821475029
1585699196.1115077,15324,0.0031425240449607372
1585699320.7830963,15473,0.01149161346256733
1585699321.0974033,15475,0.003999726846814156
1585699326.1953578,15507,0.003466785652562976
1585699563.547323,15740,0.002892910037189722
1585699567.2585964,15764,0.006542013492435217
1585699708.2057207,15993,0.0031788405030965805
1585699824.196743,16095,0.003937443718314171
1585699828.2794704,16116,0.0037636645138263702
1585699951.304412,16249,0.004704074468463659
1585699963.1962836,16321,0.0018584101926535368
1585700065.8751295,16343,0.0057357074692845345
1585700075.6845345,16406,0.003620920702815056
1585700191.8665152,16505,0.004290390759706497
1585700325.0567179,16697,0.00367698073387146
1585700443.635099,16809,0.0030055176466703415
1585700451.055457,16857,0.005789957940578461
1585700458.4027834,16899,0.005083426833152771
1585700588.0877287,17066,0.004495265893638134
1585700692.5932782,17097,0.0067536658607423306
1585700716.6593335,17239,0.0034220595844089985
1585700824.164682,17292,0.0033586593344807625
1585700828.8494244,17317,0.005375143140554428
1585700832.2164285,17339,0.006106412969529629
1585700949.8131473,17444,0.0035609423648566008
1585700966.6480145,17543,0.005438705440610647
1585701068.982638,17557,0.004005740862339735
1585701074.335752,17586,0.004611531272530556
1585701075.537077,17594,0.00216883746907115
1585701080.7026193,17623,0.003933992236852646
1585701196.7417002,17722,0.003779607592150569
1585701336.2113667,17953,0.004111893475055695
1585701446.1380808,18018,0.003703164402395487
1585701454.592291,18065,0.003077695844694972
1585701587.959015,18264,0.0032702952157706022
1585701596.6826475,18318,0.004309645853936672
1585701718.153679,18451,0.00539346132427454
1585701841.1056054,18592,0.005022807978093624
1585702083.953836,18845,0.003855555085465312
1585702203.3244746,18958,0.0074988617561757565
1585702330.800491,19116,0.005877391900867224
1585702339.3922815,19169,0.00298309582285583
1585702456.9073954,19271,0.005647584795951843
1585702602.4266396,19531,0.004406583029776812
1585702722.3911946,19640,0.0029719374142587185
1585702724.6166823,19654,0.0032578688114881516
1585702838.3823428,19731,0.004567420110106468
1585702858.6835287,19846,0.005546624772250652
1585702974.6708074,19938,0.003146827919408679
1585702984.689735,19995,0.0049029504880309105
1585703092.844058,20035,0.0036169756203889847
1585703096.0344372,20053,0.0025267875753343105
1585703098.0690682,20062,0.004901287145912647
1585703110.9672055,20138,0.0035427361726760864
1585703228.106984,20244,0.0051103862933814526
1585703228.6594837,20247,0.0023212807718664408
1585703229.449917,20252,0.004794524051249027
1585703241.6483603,20323,0.003576190210878849
1585703362.1651459,20440,0.0061063580214977264
1585703471.2104428,20485,0.019076285883784294
1585703481.1064665,20539,0.009595939889550209
1585703481.4513633,20540,0.010566367767751217
1585703485.7135806,20562,0.0068129971623420715
1585703488.2910638,20578,0.00889831967651844
1585703623.5148032,20779,0.003694780869409442
1585703623.9561093,20782,0.004578552208840847
1585703733.4278505,20831,0.0024413340725004673
1585703737.688528,20855,0.004617479629814625
1585703876.4756632,21080,0.00429909024387598
1585703986.5623972,21144,0.006158267613500357
1585703997.8159642,21209,0.004981841426342726
1585704001.7106256,21232,0.00402460340410471
1585704116.7211986,21316,0.005174265243113041
1585704117.3545036,21319,0.004556828178465366
1585704118.1809685,21324,0.004077281337231398
1585704128.7953494,21391,0.004175909329205751
1585704231.531215,21409,0.016571946442127228
1585704252.165121,21523,0.005745186936110258
1585704379.2458174,21681,0.003239920362830162
1585704497.717355,21795,0.0028258084785193205
1585704501.8735049,21821,0.00372726796194911
1585704505.9089093,21842,0.0019079850753769279
1585704506.82985,21848,0.003871241584420204
1585704636.0997148,22006,0.0022962898947298527
1585704878.1322682,22245,0.003452517092227936
1585704886.1353796,22292,0.00320800906047225
1585704992.8225298,22330,0.003058368805795908
1585704998.2549284,22358,0.005053676664829254
1585705018.1331947,22472,0.0037589508574455976
1585705132.3718767,22544,0.004212690517306328
1585705271.0353534,22765,0.003962173126637936
1585705384.0841937,22840,0.004078971222043037
1585705399.068065,22930,0.004588212352246046
1585705635.7901115,23138,0.002544855698943138
1585705637.507294,23148,0.004292864352464676
1585705643.9791644,23182,0.0035191518254578114
1585705645.5929375,23192,0.004654320888221264
1585705650.0353847,23218,0.006453566253185272
1585705758.7544658,23263,0.006389977410435677
1585705762.2846591,23286,0.004593603312969208
1585705774.9568775,23361,0.0029852543957531452
1585705887.0182123,23427,0.004505355842411518
1585705907.1540318,23540,0.004170072730630636
1585706030.3775122,23670,0.004082564264535904
1585706032.5524182,23681,0.004053773358464241
1585706035.783131,23701,0.003974357154220343
1585706276.21198,23938,0.002744473284110427
1585706399.7135496,24079,0.004943865351378918
1585706406.4211285,24118,0.0033050943166017532
1585706411.8704119,24147,0.0027374185156077147
1585706527.1740391,24234,0.0021226108074188232
1585706534.5519176,24282,0.0024746861308813095
1585706534.8680816,24284,0.002863460686057806
1585706540.9244795,24322,0.0033255424350500107
1585706645.271549,24345,0.0046154106967151165
1585706782.2809596,24557,0.0030457782559096813
1585706792.3584783,24621,0.004125403240323067
1585706911.0079963,24719,0.003354571294039488
1585706912.5123982,24727,0.0035770349204540253
1585707043.4709349,24901,0.002987295389175415
1585707049.5464091,24934,0.0027985903434455395
1585707163.0815675,25008,0.00463672261685133
1585707169.9412096,25047,0.003105415729805827
1585707285.2538767,25133,0.0032285251654684544
1585707302.437498,25231,0.004616628400981426
1585707306.1482098,25253,0.002572346478700638
1585707419.7681344,25332,0.00465081911534071
1585707429.3592076,25391,0.0027226246893405914
1585707548.2030058,25505,0.0035990923643112183
1585707550.6787283,25520,0.0031347291078418493
1585707680.7671905,25686,0.0031772523652762175
1585707803.6350422,25812,0.002842471469193697
1585707809.7390635,25847,0.00391190592199564
1585707923.024433,25921,0.002678988501429558
1585708049.1741848,26066,0.003153007011860609
1585708053.3260849,26091,0.0032882392406463623
1585708064.5381896,26155,0.004938309080898762
1585708067.3091633,26169,0.004407258704304695
1585708189.907324,26292,0.001966578885912895
1585708191.5961483,26303,0.002283782232552767
1585708309.8057423,26403,0.003765518544241786
1585708322.205329,26470,0.0022407013457268476
1585708680.4720056,26797,0.003317001275718212
1585708680.639187,26798,0.0030683265067636967
1585708686.1899633,26827,0.003515080315992236
1585708686.6990566,26829,0.0027113817632198334
1585708704.7469697,26928,0.0037822879385203123
1585708942.742134,27142,0.0037525249645113945
1585708943.7196865,27148,0.005091243889182806
1585708944.6343024,27154,0.005541532300412655
1585708945.2445347,27158,0.0024257146287709475
1585708945.4220533,27159,0.006563897710293531
1585709065.481859,27274,0.005753879901021719
1585709206.576113,27505,0.0036398987285792828
1585709323.3840773,27603,0.003108814125880599
1585709325.2417047,27613,0.0023338766768574715
1585709327.0058453,27620,0.0026213638484477997
1585709330.0067973,27638,0.0024969568476080894
1585709447.4624386,27739,0.0027123535983264446
1585709463.0131767,27825,0.002518180524930358
1585709579.4350202,27916,0.0029022449161857367
1585709585.6781383,27950,0.002324829576537013
1585709589.215764,27968,0.0021306395065039396
1585709838.3648317,28251,0.003034663386642933
1585709850.1538146,28321,0.0027478625997900963
1585709971.6990728,28438,0.00351535901427269
1585709973.6533163,28451,0.002207554876804352
1585710089.7516956,28543,0.0024423254653811455
1585710094.3441877,28572,0.0021932313684374094
1585710101.3270338,28611,0.002468748949468136
1585710464.3241856,28970,0.0048395609483122826
1585710469.3057718,28996,0.003818318247795105
1585710476.4404502,29037,0.0034472986590117216
1585710480.2750888,29062,0.003212692914530635
1585710483.4658816,29078,0.0023316743317991495
1585710606.2290888,29201,0.005339506082236767
1585710717.6386359,29263,0.004011894576251507
1585710853.482942,29471,0.002133068162947893
1585710856.0382152,29487,0.0023808879777789116
1585710869.7400618,29561,0.001636503147892654
1585710978.1110952,29611,0.003913981840014458
1585711102.4158797,29747,0.0025709618348628283
1585711116.1966956,29828,0.0016580407973378897
1585711116.3502767,29829,0.0016991135198622942
1585711245.9421575,30000,0.0032618404366075993
1585711247.1334019,30005,0.0019454581197351217
1585711351.3872144,30031,0.004542905371636152
1585711362.0498335,30092,0.0031828926876187325
